# PSRJ;RAJ;err_RAJ;DECJ;err_DECJ;F0;err_F0;F1;err_F1;F2;err_F2;N_ToA;T;Flags
# ;h:m:s;0.0;d:m:s;0.0;Hz;0.0;1E-15 s^-2;0.0;1E-24 s^-3;0.0;0.0;yr;
J0030+0451;00:30:27.423;(9);+04:51:39.7;(3);205.530699027;(+7,-8);-0.39;(1);0.0;58;1.04;
J0134-2937;01:34:18.6939;(2);-29:37:17.157;(5);7.30131486798;(8);-4.17767;(2);0.0;(0.1);198;3.42;
J0151-0635;01:51:22.718;(4);-06:35:02.98;(1);0.682750032508;(+6,-5);-0.20585;(2);0.0;(+0.038,-0.2);196;3.74;
J0152-1637;01:52:10.854;(1);-16:37:53.63;(3);1.20085114658;(+7,-9);-1.87464;(+2,-3);0.0;(+0.064,-0.098);119;3.29;
J0206-4028;02:06:01.2931;(1);-40:28:03.616;(1);1.58591388856;(5);-3.01013;(2);0.0;(+0.1,-0.08);131;3.35;
J0255-5304;02:55:56.2939;(4);-53:04:21.250;(4);2.23359632409;(2);-0.155852;(+7,-8);0.0;(+0.038,-0.054);270;3.75;
J0348+0432;03:48:43.639;(3);+04:32:11.45;(2);25.5606365903;(+4,-5);-0.158;(2);0.0;(+26.2,-14.7);41;2.85;B
J0401-7608;04:01:51.75;(1);-76:08:12.95;(5);1.83400700914;(+9,-7);-5.1927;(+3,-4);0.0;(+0.9,-0.4);110;3.15;
J0418-4154;04:18:03.7748;(4);-41:54:14.42;(6);1.32079643042;(2);-2.30176;(6);0.0;(+0.13,-0.58);99;3.38;
J0437-4715;04:37:15.8961;(6);-47:15:09.1107;(3);173.68794581;(+2,-1);-1.72;(+3,-4);0.0;230;1.41;PPTA, B
J0450-1248;04:50:08.7903;(2);-12:48:07.088;(8);2.28303085312;(+6,-4);-0.5358;(1);0.0;(+1.7,-0.9);81;3.14;
J0452-1759;04:52:34.119;(1);-17:59:23.15;(3);1.82168155657;(+5,-4);-19.0941;(+1,-3);0.0;(+0.08,-0.45);121;3.73;
J0525+1115;05:25:56.498;(1);+11:15:18.8;(1);2.82137062404;(2);-0.58697;(+8,-7);0.0;(+0.21,-0.58);59;3.15;
J0529-6652;05:29:50.90;(3);-66:52:39.9;(3);1.02486651379;(+2,-1);-16.2526;(+3,-4);0.0;(+20.7,-2.7);59;2.24;
J0533+0402;05:33:25.828;(5);+04:01:59.7;(2);1.03840237842;(2);-0.17255;(+8,-1);0.0;(+0.46,-0.16);54;3.14;
J0536-7543;05:36:30.829;(4);-75:43:54.63;(2);0.802660896061;(+1,-2);-0.37076;(5);0.0;(+0.06,-0.066);189;3.63;
J0601-0527;06:01:58.9731;(8);-05:27:50.92;(2);2.52544324442;(+6,-7);-8.30641;(+3,-2);0.0;(+0.085,-0.053);208;3.72;
J0624-0424;06:24:20.025;(1);-04:24:50.56;(4);0.962392542206;(1);-0.769;(2);0.0;(+0.12,-0.12);120;3.14;
J0627+0706;06:27:44.172;(4);+07:06:33.0;(2);2.10134828979;(1);-131.6248;(5);0.0;(+0.3,-1.5);111;3.15;
J0630-2834;06:30:49.35;(1);-28:34:42.1;(2);0.803583722117;(+3,-2);-4.6323;(+1,-9);0.0;(+0.16,-0.13);87;3.65;
J0646+0905;06:46:31.025;(5);+09:05:49.6;(3);1.10630072318;(+7,-9);-0.9009;(2);0.0;(+1.3,-1.1);160;3.01;
J0659+1414;06:59:48.188;(5);+14:14:19.2;(4);2.59788422925;(2);-370.7966;(9);1;(+1.1,-0.5);162;3.15;
J0711-6830;07:11:54.1654;(1);-68:30:47.296;(1);182.117234537;(+9,-1);-0.4928;(3);0.0;(+4.0,-2.5);43;2.89;PPTA
J0729-1836;07:29:32.30;(1);-18:36:42.1;(2);1.96011842607;(+2,-1);-72.8289;(+6,-7);-2;(+2.4,-1.8);169;3.16;
J0737-3039A;07:37:51.24669;(2);-30:39:40.6895;(3);44.0540680812;(+7,-6);-3.4149;(3);0.0;(+0.82,-0.63);144;3.49;B
J0738-4042;07:38:32.244;(3);-40:42:39.43;(4);2.66723044109;(5);-9.805;(2);-3.51.2;243;3.66;
J0742-2822;07:42:48.91;(4);-28:22:44.0;(7);5.996127853;(2);-604.187;(1);0.0;(+1.0,-35.8);180;3.46;
J0758-1528;07:58:29.061;(2);-15:28:08.333;(4);1.46570344504;(+3,-4);-3.4786;(+2,-1);0.0;(+0.21,-0.28);144;3.12;
J0809-4753;08:09:43.834;(3);-47:53:54.85;(2);1.82747830432;(+6,-4);-10.2748;(2);0.0;(+0.07,-0.32);79;3.12;
J0820-1350;08:20:26.407;(1);-13:50:56.32;(4);0.807668884066;(4);-1.37174;(2);0.0;(+0.084,-0.09);51;3.57;
J0820-4114;08:20:15.46;(1);-41:14:35.2;(1);1.8333635346;(7);-0.0664;(2);0.0;(+0.48,-0.78);88;3.39;
J0835-4510;08:35:20.6;(2);-45:10:33;(1);11.18677868;(2);-13161;(+5.4,-5.3);0.0;(+19949.0,-7024.5);1420;4.81;
J0837+0610;08:37:05.6462;(1);+06:10:15.87;(6);0.785068914181;(+2,-3);-4.19046;(+1,-8);0.0;(+0.033,-0.016);78;3.75;
J0837-4135;08:37:21.1922;(4);-41:35:14.589;(4);1.33044994223;(5);-6.26572;(3);0.0;(+0.038,-0.09);140;3.64;
J0840-5332;08:40:33.726;(9);-53:32:35.95;(6);1.38770592261;(3);-3.154;(1);0.0;(+0.09,-0.23);59;3.14;
J0842-4851;08:42:05.4443;(9);-48:51:20.6;(1);1.5519428595;(9);-23.0246;(+7,-8);0.0;(+2.7,-0.1);53;3.13;
J0846-3533;08:46:06.0712;(4);-35:33:40.91;(6);0.895978340332;(1);-1.28499;(4);0.0;(+0.13,-0.3);65;3.3;
J0855-3331;08:55:38.421;(3);-33:31:38.99;(4);0.788929778283;(+1,-2);-3.93327;(+4,-3);0.0;(+0.2,-0.28);76;3.12;
J0856-6137;08:56:59.27;(1);-61:37:52.71;(8);1.03894958562;(+2,-3);-1.813;(+1,-8);0.0;(+0.33,-0.11);48;3.39;
J0904-4246;09:04:59.083;(9);-42:46:13.4;(1);1.03608336991;(+3,-2);-2.0148;(+9,-1);0.0;(+0.24,-0.4);50;3.37;
J0904-7459;09:04:10.47;(3);-74:59:41.7;(1);1.81965845843;(+1,-7);-1.5278;(+4,-3);0.0;(+1.1,-1.0);44;2.98;
J0907-5157;09:07:15.901;(3);-51:57:59.36;(2);3.9438751026;(+7,-5);-28.5412;(3);0.0;(+0.87,-0.12);121;3.5;
J0908-1739;09:08:38.227;(4);-17:39:39.9;(1);2.48987780015;(4);-4.1492;(2);0.0;(+0.27,-0.98);37;3.16;
J0908-4913;09:08:35.46;(1);-49:13:05.00;(1);9.36601123448;(6);-1324.821;(+3,-4);4;(+1.3,-1.5);173;3.48;
J0909-7212;09:09:35.81;(3);-72:12:08.94;(1);0.733734742115;(4);-0.1762;(2);0.0;(+0.15,-0.41);31;3.15;
J0922+0638;09:22:13.85;(3);+06:38:19;(1);2.32217901642;(3);-73.985;(1);0.0;(+2.5,-9.6);68;3.02;
J0924-5302;09:24:08.722;(4);-53:02:42.6;(3);1.33987540461;(2);-63.431;(+1,-9);0.0;(+3.9,-4.1);137;3.2;
J0924-5814;09:24:30.82;(1);-58:14:05.10;(1);1.35225504146;(+4,-3);-9.0013;(2);0.0;(+0.48,-0.28);72;3.39;
J0934-5249;09:34:28.237;(5);-52:49:27.30;(5);0.692148271001;(+1,-8);-2.22898;(3);0.0;(+0.07,-0.14);152;3.16;
J0942-5552;09:42:14.88;(6);-55:52:55.1;(5);1.50514304056;(3);-51.376;(2);8;(+4.1,-4.3);150;3.69;
J0942-5657;09:42:54.422;(5);-56:57:43.21;(3);1.23737204376;(4);-60.6357;(2);0.0;(+0.37,-0.09);90;3.18;
J0944-1354;09:44:28.967;(1);-13:54:41.88;(2);1.75357327379;(+5,-7);-0.13929;(2);0.0;(+0.069,-0.118);61;3.11;
J0953+0755;09:53:09.3121;(2);+07:55:36.9;(1);3.95154788907;(+9,-8);-3.58768;(3);0.0;(+0.021,-0.07);73;3.71;
J0955-5304;09:55:29.461;(1);-53:04:16.64;(1);1.15992862694;(4);-4.74318;(1);0.0;(+0.16,-0.078);155;3.26;
J0959-4809;09:59:26.212;(6);-48:09:47.47;(7);1.49234604;(+5,-4);-0.1887;(+1,-9);0.0;(+0.49,-0.27);78;3.37;
J1001-5507;10:01:37.85;(5);-55:07:07.8;(5);0.696073036122;(+9,-1);-24.9925;(+7,-6);1;(+0.8,-1.6);138;3.7;
J1003-4747;10:03:21.529;(1);-47:47:01.190;(2);3.25654170022;(3);-21.96544;(+9,-6);0.0;(+0.29,-0.36);69;3.13;
J1012-5857;10:12:48.470;(5);-58:57:48.50;(3);1.21962189426;(1);-26.47184;(4);0.0;(+0.05,-0.23);193;3.71;
J1013-5934;10:13:31.848;(2);-59:34:26.63;(1);2.25784124141;(1);-2.83682;(+3,-4);0.0;(+0.12,-0.18);132;3.43;
J1016-5345;10:16:31.135;(4);-53:45:14.26;(3);1.29940016176;(2);-3.25316;(+6,-4);0.0;(+0.24,-0.8);102;3.14;
