# PSRJ;Model;lnBF;logRedAmp;errUpp_logRedAmp;errLow_logRedAmp;RedSlope;errUpp_RedSlope;errLow_RedSlope
# ;;;yr^3/2;yr^3/2;yr^3/2;;;
J0030+0451;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0134-2937;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0151-0635;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0152-1637;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0206-4028;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0255-5304;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0348+0432;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0401-7608;PLRN;10.6;-10.2;0.2;0.5;4.0;14.4;-2.5
J0418-4154;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0437-4715;PLRN;4.2;-10.8;0.7;0.4;9.5;3.8;2.5
J0450-1248;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0452-1759;PLRN;22.0;-10.4;0.3;0.7;3.1;3.5;2.0
J0525+1115;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0529-6652;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0533+0402;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0536-7543;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0601-0527;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0624-0424;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0627+0706;PLRN;60.2;-10.0;0.4;0.4;3.5;2.5;1.7
J0630-2834;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0646+0905;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0659+1414;PLRN;26.8;-10.1;0.4;3.5;5.6;14.3;2.1
J0711-6830;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0729-1836;PLRN;191.6;-9.7;0.3;0.3;6.1;3.0;2.0
J0737-3039A;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0738-4042;PLRN+F2;5.4;-9.8;0.3;0.2;6.5;1.8;1.4
J0742-2822;PLRN;512.3;-9.0;0.2;0.1;4.8;1.4;1.0
J0758-1528;PLRN;3.2;-10.7;0.6;3.9;4.1;15.8;1.8
J0809-4753;PLRN;3.5;-11.1;1.2;3.6;5.7;14.2;3.5
J0820-1350;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0820-4114;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0835-4510;PLRN;3173.2;-8.2;0.2;0.2;8.6;0.9;0.9
J0837+0610;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0837-4135;PLRN;138.6;-11.7;0.8;1.0;7.5;5.5;2.9
J0840-5332;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0842-4851;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0846-3533;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0855-3331;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0856-6137;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0904-4246;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0904-7459;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0907-5157;PLRN;92.7;-10.8;0.7;3.4;5.8;14.2;2.1
J0908-1739;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0908-4913;PLRN;523.7;-9.6;0.2;0.2;5.0;1.0;0.8
J0909-7212;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0922+0638;PLRN;101.1;-9.4;0.2;0.2;5.6;1.8;2.0
J0924-5302;PLRN;279.9;-9.3;0.3;0.2;4.5;1.3;1.1
J0924-5814;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0934-5249;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0942-5552;PLRN;523.1;-9.0;0.2;0.2;5.9;1.6;1.1
J0942-5657;PLRN;26.5;-13.1;2.6;1.0;17.4;2.6;11.6
J0944-1354;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0953+0755;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0955-5304;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J0959-4809;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1001-5507;PLRN;492.9;-9.1;0.2;0.1;4.6;1.2;0.8
J1003-4747;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1012-5857;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1013-5934;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1016-5345;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1017-5621;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1017-7156;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1022+1001;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1032-5911;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1034-3224;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1036-4926;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1041-1942;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1042-5521;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1043-6116;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1045-4509;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1046-5813;PLRN;7.0;-13.2;2.9;1.1;18.3;1.6;14.4
J1047-6709;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1048-5832;PLRN;1258.2;-8.6;0.2;0.1;6.3;1.2;1.0
J1056-6258;PLRN;297.3;-9.7;0.2;0.2;2.9;1.1;1.0
J1057-5226;PLRN;267.5;-9.9;0.2;0.2;5.9;2.3;1.5
J1057-7914;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1059-5742;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1105-6107;PLRN;347.5;-8.9;0.3;0.2;4.1;1.7;1.2
J1110-5637;PLRN;49.0;-10.3;0.5;0.9;6.5;5.7;3.1
J1112-6613;PLRN;35.2;-9.6;0.3;0.2;3.5;2.8;1.7
J1112-6926;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1114-6100;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1116-4122;PLRN;4.8;-13.9;3.8;0.8;17.0;2.1;5.2
J1121-5444;PLRN;111.1;-9.8;0.3;0.3;6.0;3.6;2.1
J1123-6259;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1126-6942;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1133-6250;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1136+1551;PLRN;6.5;-10.4;0.5;3.9;4.0;15.9;2.1
J1136-5525;PLRN;174.3;-10.2;0.5;0.6;7.7;4.3;2.5
J1141-3322;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1141-6545;PLRN;186.8;-10.3;0.4;0.5;4.7;3.2;1.9
J1146-6030;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1157-6224;PLRN;97.5;-10.1;0.2;0.2;3.3;1.8;1.4
J1202-5820;PLRN;69.2;-10.3;0.4;0.6;5.3;4.0;2.0
J1210-5559;PLRN;4.5;-14.7;3.2;1.4;13.8;6.1;10.4
J1224-6407;PLRN;372.6;-10.7;0.2;0.2;5.0;1.9;1.5
J1231-6303;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1239-6832;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1243-6423;PLRN;950.4;-10.2;0.2;0.2;4.5;1.0;0.8
J1253-5820;PLRN;67.0;-10.7;0.5;0.7;5.6;4.5;2.7
J1257-1027;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1259-6741;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1305-6455;PLRN;197.0;-9.7;0.3;0.6;4.9;3.0;1.6
J1306-6617;PLRN;7.8;-11.5;1.6;2.6;16.5;3.4;12.3
J1312-5402;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1312-5516;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1319-6056;PLRN;24.8;-10.3;0.4;3.7;3.1;15.5;-3.4
J1320-5359;PLRN;43.1;-13.8;3.1;0.9;19.4;0.6;13.4
J1326-5859;PLRN;718.2;-10.1;0.3;0.2;5.4;1.3;1.0
J1326-6408;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1326-6700;PLRN;107.9;-9.3;0.2;0.2;3.5;1.8;1.4
J1327-6222;PLRN;946.9;-9.1;0.2;0.2;4.2;1.1;1.0
J1327-6301;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1328-4357;PLRN;11.0;-13.2;3.0;0.8;19.9;0.0;15.4
J1338-6204;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1350-5115;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1355-5153;PLRN;4.1;-13.4;2.9;1.0;16.4;3.5;11.8
J1356-5521;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1359-6038;PLRN;1556.6;-10.0;0.2;0.1;5.1;0.9;0.8
J1401-6357;PLRN;693.7;-9.8;0.3;0.3;7.5;2.9;2.1
J1413-6307;PLRN;143.4;-9.4;0.4;0.3;4.6;3.0;2.4
J1418-3921;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1420-5416;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1424-5822;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1428-5530;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
J1430-6623;PLRN;26.4;-11.0;0.2;0.0;3.2;7.2;-0.2
J1435-5954;WTN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
