ID,UTC Start,Observing band,Duration (s),DM (pc cm^-3),DM error (pc cm^-3),DM epoch (MJD),DM chi2r,DM tres,SN,Flux (mJy),RM (rad m^-2),RM error (rad m^-2),RFI zapped (%)
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTc3NzY=,2020-06-13T12:00:44+00:00,LBAND,88.90296224299067,13.67823497074997,0.0749304946306369,59400.0,0.8499,366.358,84.4432678222656,1.412,23.3118,0.08,0.153125
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTg3MTQ=,2021-02-19T17:56:37+00:00,LBAND,89.6088260186916,13.889794037105766,0.05841412526175537,59400.0,0.8536,231.214,110.528717041016,1.908,22.5433,0.08,0.121875
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTc2ODQ=,2020-05-16T14:22:36+00:00,LBAND,91.88151745794394,13.810578453962375,0.10219345199116033,59400.0,2.3282,486.704,116.630035400391,1.788,23.4884,0.06,0.129296875
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTc4ODY=,2020-07-11T10:21:40+00:00,UHF,89.31334023529408,13.972258704906576,0.01825145141418755,59400.0,0.9395,183.262,125.015617370605,3.823,23.003,0.05,0.08408203125
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTg0MDQ=,2020-11-27T23:40:37+00:00,LBAND,89.52969330841124,13.8823947408826,0.060069789848144386,59400.0,1.3777,211.84,175.265991210938,3.052,23.0159,0.06,0.1009765625
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTg2MTM=,2021-01-25T19:40:37+00:00,LBAND,89.52969330841124,13.746193497676048,0.12179882272707047,59400.0,3.3882,459.451,320.502624511719,4.686,23.1775,0.05,0.1173828125
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTgyMDg=,2020-10-01T03:38:58+00:00,LBAND,89.52969330841123,14.035033012354942,0.08871572390000501,59400.0,1.4922,314.602,104.535118103027,1.849,24.5532,0.08,0.14697265625
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTg1MDE=,2020-12-26T21:18:13+00:00,LBAND,89.60882601869162,13.952262578097915,0.031115061399322717,59400.0,0.8311,96.621,263.422149658203,4.087,22.7846,0.05,0.14375
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTc1Nzg=,2020-04-19T16:17:21+00:00,LBAND,104.81813293457945,13.947304037072003,0.04451867785441913,59400.0,0.852,159.523,135.003799438477,1.946,23.6236,0.07,0.12931315104166666
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTgxMDE=,2020-09-05T06:01:23+00:00,LBAND,89.52969330841124,13.966546605428684,0.029787489397891914,59400.0,0.7987,111.234,201.581695556641,3.519,23.4748,0.05,0.13251953125
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MjEyMTM=,2019-10-19T01:07:11+00:00,LBAND,402.4958803738317,13.933300823301899,0.01331938932713635,59400.0,1.0933,46.693,582.178039550781,1.954,23.4062,0.05,0.11829741379310345
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTc5OTQ=,2020-08-08T07:45:46+00:00,LBAND,89.84411394392525,13.928278188469589,0.043513365837577034,59400.0,0.9483,198.659,139.524597167969,1.774,23.2226,0.07,0.143359375
