ID,UTC Start,Observing band,Duration (s),DM (pc cm^-3),DM error (pc cm^-3),DM epoch (MJD),DM chi2r,DM tres,SN,Flux (mJy),RM (rad m^-2),RM error (rad m^-2),RFI zapped (%)
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTE2,2020-01-23T18:50:24+00:00,LBAND,1801.5087120747664,48.89635050104141,0.0007508680332215449,55185.0,1.2504,2.494,903.753540039062,3.17,120.449,0.05,0.08651958897783252
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTEw,2019-12-14T21:44:30+00:00,LBAND,1803.5495656074768,48.897221861679675,0.00042470218636765286,55185.0,0.5275,1.367,1166.16052246094,4.136,120.516,0.04,0.06200670498084291
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MjM5,2022-12-30T03:49:11+00:00,UHF,1799.2189929411768,48.89819593306235,0.0002936493428387069,55185.0,0.3371,1.87,1933.15698242188,7.984,120.126,0.02,0.10435267857142858
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MjY2,2023-05-16T14:09:07+00:00,SBAND_0,1799.5864824685577,48.92246989169494,0.009576732310616877,55185.0,0.9802,6.812,461.212219238281,0.0,-171.985,24.66,0.10825020926339286
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTcx,2021-08-20T10:24:08+00:00,LBAND,1799.5509963364484,48.89630553537387,0.0009364715448580796,55185.0,2.5865,3.232,1146.451171875,3.741,120.042,0.04,0.12023104680493274
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTYx,2021-04-21T18:47:39+00:00,LBAND,1799.469240224299,48.89553307785771,0.0006331599181715772,55185.0,1.1847,2.185,1171.97790527344,3.464,120.563,0.04,0.09644862583705358
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MjEw,2022-07-30T07:13:56+00:00,UHF,1799.2189929411768,48.89818319883543,0.0004664903462698973,55185.0,0.8932,2.876,2228.20629882812,9.402,120.366,0.02,0.10923549107142858
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTI5,2020-05-30T09:28:33+00:00,UHF,1799.8465788235296,48.89845823130015,0.0004044235449406009,55185.0,0.6354,2.61,1541.02587890625,5.941,120.436,0.03,0.10246058872767858
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MjIz,2022-10-22T05:58:33+00:00,UHF,1799.2189929411768,48.89801535988122,0.0002909214195092792,55185.0,0.3852,1.71,3012.77758789062,11.145,119.533,0.02,0.09795706612723214
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTIx,2020-03-20T20:18:35+00:00,UHF,1802.1895661176472,48.897414281277186,0.0005610817217037471,55185.0,1.4624,3.539,1939.78479003906,7.645,120.558,0.03,0.09400721958705358
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTM1,2020-07-28T04:33:10+00:00,LBAND,1799.8651119252336,48.896428581209584,0.0006065003428312026,55185.0,1.0616,2.104,1101.59375,3.534,120.771,0.04,0.11377825055803571
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTM0,2020-06-27T14:51:50+00:00,UHF,1799.8465788235299,48.89835897957124,0.00038032258904951776,55185.0,0.6235,2.31,1466.62316894531,6.633,120.44,0.03,0.096923828125
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTY0,2021-05-18T18:29:33+00:00,UHF,1799.2189929411768,48.89873947905042,0.0003156886135572278,55185.0,0.425,1.81,2393.13012695312,9.836,120.39,0.03,0.10886056082589286
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MjEy,2022-08-27T05:21:16+00:00,UHF,1799.2189929411768,48.896530825692416,0.00039205172778772085,55185.0,0.7238,2.381,2347.26586914062,9.921,120.443,0.02,0.14958844866071427
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MjU2,2023-04-23T11:23:33+00:00,UHF,1798.2427482352946,48.89833488118934,0.0005645345148102233,55185.0,1.3122,3.429,2249.92211914062,8.299,119.024,0.02,0.10619681222098214
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MjE4,2022-09-18T07:10:50+00:00,LBAND,1799.4692402242988,48.89737808463152,0.000492374256945469,55185.0,0.7857,1.629,1328.07739257812,4.078,119.797,0.04,0.13184901646205358
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTgy,2021-11-23T05:12:07+00:00,UHF,1799.2189929411768,48.89855529864434,0.0009140425792183377,55185.0,3.4162,5.851,2075.99658203125,9.094,120.174,0.02,0.11674281529017858
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MjM1,2022-12-30T01:18:55+00:00,UHF,1799.2189929411768,48.89881447114422,0.0006033482346415835,55185.0,1.5372,3.78,2027.14624023438,8.165,120.343,0.02,0.10072980608258929
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTE5,2020-02-21T22:13:29+00:00,LBAND,1802.5286399999998,48.89519815505398,0.00056483129690892,55185.0,0.9807,1.939,1200.38708496094,4.135,120.555,0.04,0.08703177315848214
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTI4,2020-04-27T18:40:52+00:00,UHF,1802.8032056470593,48.8985732702172,0.00041227468272282615,55185.0,0.6503,2.831,1274.70239257812,5.195,120.531,0.03,0.09571620396205358
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MjYw,2023-04-23T13:53:46+00:00,UHF,1799.2189929411768,48.89701692304481,0.0007329725314106215,55185.0,2.2141,4.563,2349.35180664062,9.079,118.278,0.02,0.10314069475446429
UHVsc2FyRm9sZFJlc3VsdE5vZGU6ODc=,2019-05-20T17:12:49+00:00,LBAND,2032.0000000000002,48.89798788626911,0.0005028673908605215,55185.0,0.5296,1.802,771.470275878906,2.797,120.635,0.05,0.14123648741105638
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTE3,2020-02-21T19:42:49+00:00,LBAND,1802.6060931588784,48.8941749126269,0.000728195112209971,55185.0,1.5155,2.62,1039.38745117188,3.552,120.409,0.05,0.07536097935267858
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTI1,2020-03-28T14:46:08+00:00,UHF,2409.497451294118,48.89699454092178,0.0005235659659951885,55185.0,1.2473,3.329,1826.73425292969,7.675,117.926,0.28,0.095
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTU4,2021-03-19T15:30:59+00:00,UHF,1799.2189929411768,48.89832335109302,0.00039942380266007695,55185.0,0.7045,2.522,2404.16333007812,9.233,120.114,0.02,0.11032540457589286
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MTA3,2019-12-13T23:51:12+00:00,LBAND,1803.4707343551404,48.89532244544468,0.0003780381461883344,55185.0,0.447,1.181,1277.1123046875,4.453,120.601,0.04,0.07835591133004927
