ID,UTC Start,Observing band,Duration (s),DM (pc cm^-3),DM error (pc cm^-3),DM epoch (MJD),DM chi2r,DM tres,SN,Flux (mJy),RM (rad m^-2),RM error (rad m^-2),RFI zapped (%)
UHVsc2FyRm9sZFJlc3VsdE5vZGU6Nzg2MzQ=,2024-10-29T05:10:38+00:00,LBAND,159.52135177570145,157.43285157730838,0.02413034443598366,59400.0,1.2644,103.976,360.588470458984,2.71,83.4054,0.14,0.15306332236842105
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MjQzMTI=,2022-01-10T03:25:46+00:00,LBAND,151.54086041121542,157.42732577189662,0.04324311006164364,59400.0,2.0811,173.454,338.276458740234,3.247,83.2482,0.17,0.15152994791666666
UHVsc2FyRm9sZFJlc3VsdE5vZGU6NzU2MTU=,2024-04-30T15:54:43+00:00,LBAND,159.52135177570145,157.42742345182342,0.04593134246521298,59400.0,2.8299,187.412,312.391357421875,2.856,82.8509,0.16,0.1504420230263158
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MjMzOTQ=,2020-12-26T21:46:15+00:00,LBAND,150.54197233644908,157.41651405501776,0.025576348008818667,59400.0,0.9351,102.163,296.654174804688,2.3,84.5135,0.15,0.16176470588235295
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MjczMzE=,2022-08-05T13:39:11+00:00,LBAND,150.54195798130888,157.41939515989526,0.02896981188587086,59400.0,1.0447,122.401,257.004058837891,2.124,83.0479,0.18,0.18428308823529413
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MjUzMTY=,2022-07-23T10:58:17+00:00,LBAND,158.99888687850517,157.413191256852,0.02942832593960929,59400.0,1.2005,122.894,320.476959228516,1.992,82.8663,0.2,0.1522894965277778
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MjczODA=,2022-11-12T07:07:54+00:00,LBAND,151.54086041121542,157.4438182097614,0.051881900683167954,59400.0,2.7731,214.927,261.669616699219,2.303,82.9642,0.2,0.19222005208333334
UHVsc2FyRm9sZFJlc3VsdE5vZGU6Mjc1MDc=,2022-02-25T20:49:04+00:00,LBAND,159.52135177570142,157.43553028710826,0.03493399944205903,59400.0,1.4907,140.027,290.539215087891,2.687,84.1082,0.17,0.1381293402777778
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MjI3NDY=,2020-08-08T08:17:43+00:00,LBAND,150.77191416822478,157.3969594307853,0.0239111555800296,59400.0,0.8614,95.244,296.678131103516,2.312,83.9005,0.14,0.15515854779411764
UHVsc2FyRm9sZFJlc3VsdE5vZGU6MjI2MTA=,2020-07-11T10:54:42+00:00,UHF,151.466650352941,157.6288292679541,0.013474686098433285,59400.0,2.4404,114.489,535.176574707031,7.076,83.6061,0.08,0.1262478298611111
