PSRJ,omgc_dot,omgc_0,logq_taueff,logq_tau,logq_ratio,logq_TN,logq_Qs,logq_Qc,log_tau-dist,log_ratio-dist,log_evidence_WTNnullHypothesis,log_evidence_2Cmpnt,log_Qs-dist,log_Qc-dist,Tobs,TSTART,TFINISH,NTOAs,logBF_2Cmpnt_vs_WTNnullHypothesis,logBF_per_TOA_2Cmpnt_vs_WTNnullHypothesis
J0030+0451,-2.4401224132237987e-15,1291.3874682048013,"[5.249962632870083, 2.5512983471004325, 8.098341116228662]","[5.366931414386262, 3.04371391121573, 8.04109688590774]","[-0.6844196727202331, -3.0799628023182404, 2.495338533105265]","[-10.23760322179306, -12.620563582887552, -8.398746055696918]","[-25.3003862118693, -28.47431424986709, -21.249343575613203]","[-26.17017775382662, -28.747892760945795, -23.561129498188603]",-,-,57.964415810149696,57.58381989987252,-,-,369.9878493536962,58035.55457789103,58405.54242724473,58,-0.3805959102771723,-0.006561998453054696
J0134-2937,-2.624884501900855e-14,45.87551500298703,"[4.665543132474728, 2.4676339371228457, 7.895311868985713]","[4.861270881162926, 2.954274645583565, 7.922175699601353]","[-1.3337911980838801, -3.283085675993405, 2.578852298672252]","[-8.540953416451336, -9.542301663257232, -7.4638929683779285]","[-27.594568598290035, -29.23486539296958, -24.069891223507618]","[-28.287899346335745, -29.42836444178025, -26.53388082453062]",-,-,789.3634525173336,786.7309641197184,-,-,1217.6302614498054,57290.67418745534,58508.304448905146,198,-2.6324883976152478,-0.013295395947551756
J0151-0635,-1.2931648720109697e-15,4.289845020372199,"[4.979057490871943, 2.6202258177610465, 7.785189532294246]","[5.245626297166302, 3.0885428201219938, 7.77375713308813]","[-0.883238611239155, -3.202694550657182, 2.6635916121203573]","[-6.219183638118416, -7.317466680689643, -5.109682182408378]","[-27.537164538423998, -29.213495222888856, -24.207156050694174]","[-28.13038797845037, -29.40604865246704, -26.448283694791908]",-,-,744.3424617547805,741.923719281557,-,-,1333.2894970927591,57172.038128751155,58505.327625843915,196,-2.4187424732234604,-0.012340522822568676
J0152-1637,-1.177872114203693e-14,7.545170592969073,"[4.950755087973773, 2.556777433404108, 7.943048274867006]","[5.185163833651293, 3.028173702831036, 7.961984648112602]","[-1.0006761259904071, -3.2104465892860117, 2.550828879730483]","[-6.505383149600187, -7.681548091159216, -5.517852044714412]","[-27.216209339352325, -29.068749194534803, -23.662335970673116]","[-27.857004929991938, -29.241357934977877, -26.286322511127366]",-,-,500.4681282018806,498.4308141073793,-,-,1172.8481495958113,57292.587414730006,58465.43556432582,119,-2.037314094501255,-0.01712028650841391
J0206-4028,-1.8912541655659932e-14,9.964591337097474,"[4.757443805535128, 2.4854856716151987, 7.838639811973193]","[4.965325508661374, 2.958174887220908, 7.905000889230298]","[-1.009204862144888, -3.185079098179376, 2.4696756599621574]","[-5.912556449721675, -7.007079582060137, -5.267351554297001]","[-26.706412617742675, -28.720347409189614, -23.13124451453039]","[-27.08943214534351, -28.813579194530018, -25.732308410977733]",-,-,498.92538224562804,497.92451017210743,-,pky,1193.698024174082,57297.67543099705,58491.37345517113,131,-1.0008720735206111,-0.007640244836035199
J0255-5304,-9.78466593503432e-16,14.034099641718592,"[4.558369849596682, 2.4018512497778612, 7.499063793165539]","[4.984065605297765, 3.008535631298504, 7.515016970029578]","[-0.678451633430699, -3.1194484737783306, 2.7855066544796143]","[-6.343157661942072, -7.51506014241245, -5.673444156906211]","[-27.06192886400277, -28.91390770588872, -23.92522563178501]","[-27.139922826471395, -28.801938335866012, -25.194140198261117]",-,-,1279.9469394649589,1278.8742124343596,-,pky,1336.5334548471292,57170.82992663253,58507.363381479656,270,-1.0727270305992533,-0.003973063076293531
J0348+0432,-9.930788127831235e-16,160.60221614625698,"[5.235739083936547, 2.67440022741602, 8.060694967404057]","[5.401237133901022, 3.1021273131212252, 7.9675781769273115]","[-0.6268648968663704, -3.10900579950314, 2.6109959404131033]","[-8.439703673740462, -10.203406398091817, -6.909511106379942]","[-26.444247946085103, -28.826124228518843, -22.93175558271912]","[-27.256273537952435, -29.081500678232146, -25.114365426529012]",-,-,110.35644048776581,109.303387654093,-,-,1014.1924108969833,57392.48453089283,58406.67694178981,41,-1.0530528336728082,-0.025684215455434346
J0401-7608,-3.262968863321627e-14,11.523406761691607,"[4.975526477610003, 2.550246071862745, 7.4770827378846505]","[5.013345204679067, 2.968014791457381, 7.70284829231312]","[-0.6454821867771973, -3.051122586842796, 2.4489598023711836]","[-4.045422437711164, -4.456949177996888, -3.67375487778287]","[-24.86004441750167, -27.802438542913066, -21.39586086279093]","[-24.995222315647542, -27.318379122207926, -24.172772554872797]",-,-,324.0598783006616,331.21448059936665,pky,pky,1122.9569482254083,57291.69856221211,58414.655510437515,110,7.154602298705072,0.06504183907913702
J0418-4154,-1.446294565166052e-14,8.298809093046842,"[5.480506766328947, 2.7671806419035248, 7.970983418375374]","[5.663949670108693, 3.2143573323212906, 7.924272909851359]","[-0.22966011242390869, -2.9845774354366807, 2.694600941955312]","[-4.862219887602555, -5.866596115466494, -4.158564564277748]","[-26.061009284215057, -28.50922730822219, -22.439954142283923]","[-26.340808679742427, -28.555905364985392, -25.027049831848544]",-,-,261.9974084826508,262.3324384831384,pky,pky,1202.85167497339,57305.566326647706,58508.418001621096,99,0.3350300004875635,0.003384141419066298
J0437-4715,-1.08533833434671e-14,1091.313545931684,"[1.9262834012033005, -0.03265775749829572, 3.2424993714609407]","[4.948696781158713, 3.959794926406526, 5.413139237718946]","[3.057184461359729, 2.106549133730099, 3.7213856718059515]","[-10.466435658146453, -10.891908903906925, -9.663488149763543]","[-27.67508531951396, -29.215639131942915, -26.095878172662314]","[-21.936961794917725, -22.82092882454035, -19.974824141208888]",pky,rr,1146.1391975418953,1211.7936097222528,-,pky,502.6245587482408,57939.98743074236,58442.6119894906,230,65.65441218035744,0.2854539660015541
